original_name,sanitized_name
"16dBm, 60#U00b0",16dBm_60deg
"16dBm, 80#U00b0",16dBm_80deg
"16dBm,55#U00b0",16dBm_55deg
"18 dBm, 60#U00b0",18_dBm_60deg
"18dBm, 50#U00b0",18dBm_50deg
"20dBm, 45#U00b0",20dBm_45deg
"20dBm, 50#U00b0",20dBm_50deg
"20dBm, 55#U00b0",20dBm_55deg
"22 dBm, 60#U00b0",22_dBm_60deg
"22 dBm, 75#U00b0",22_dBm_75deg
"22dBm, 50#U00b0",22dBm_50deg
"24 dBm, 45#U00b0",24_dBm_45deg
"24 dBm, 55#U00b0",24_dBm_55deg
"24 dBm, 60#U00b0",24_dBm_60deg
"24dBm, 65#U00b0",24dBm_65deg
"25 dBm, 65#U00b0",25_dBm_65deg
"25 dBm, 70#U00b0",25_dBm_70deg
"25dBm, 50#U00b0",25dBm_50deg
"25dBm, 55#U00b0",25dBm_55deg
